iter	Passed	Remaining
0	68	68747
1	88	44096
2	110	36607
3	123	30756
4	142	28452
5	175	29147
6	191	27162
7	227	28262
8	250	27557
9	275	27303
10	295	26580
11	320	26395
12	336	25511
13	359	25316
14	380	25008
15	402	24743
16	425	24593
17	446	24340
18	472	24410
19	493	24183
20	521	24308
21	535	23787
22	549	23333
23	566	23053
24	578	22557
25	594	22273
26	608	21943
27	624	21669
28	639	21411
29	652	21113
30	671	21002
31	689	20843
32	705	20659
33	722	20520
34	738	20350
35	754	20216
36	770	20041
37	787	19925
38	801	19757
39	816	19593
40	830	19424
41	847	19341
42	863	19212
43	879	19104
44	891	18927
45	912	18934
46	929	18847
47	955	18944
48	979	19015
49	1002	19040
50	1018	18959
51	1033	18840
52	1048	18740
53	1066	18676
54	1082	18598
55	1100	18546
56	1135	18782
57	1157	18805
58	1178	18790
59	1197	18753
60	1213	18682
61	1229	18602
62	1248	18564
63	1265	18506
64	1284	18480
65	1302	18429
66	1325	18459
67	1344	18433
68	1363	18394
69	1380	18344
70	1395	18256
71	1415	18248
72	1448	18393
73	1470	18401
74	1489	18366
75	1507	18326
76	1526	18292
77	1543	18239
78	1559	18186
79	1573	18093
80	1591	18054
81	1607	18000
82	1623	17939
83	1638	17871
84	1657	17843
85	1681	17872
86	1715	18007
87	1739	18029
88	1777	18194
89	1803	18236
90	1836	18348
91	1863	18392
92	1883	18364
93	1910	18412
94	1929	18376
95	1947	18343
96	1961	18263
97	1995	18371
98	2020	18392
99	2038	18349
100	2062	18356
101	2075	18268
102	2091	18215
103	2109	18171
104	2127	18135
105	2146	18103
106	2168	18097
107	2187	18068
108	2206	18040
109	2236	18095
110	2258	18085
111	2289	18156
112	2318	18202
113	2349	18258
114	2368	18224
115	2385	18177
116	2406	18164
117	2425	18130
118	2446	18111
119	2465	18080
120	2486	18064
121	2506	18036
122	2525	18007
123	2545	17984
124	2561	17932
125	2578	17884
126	2593	17826
127	2608	17770
128	2622	17707
129	2637	17650
130	2652	17593
131	2667	17537
132	2685	17504
133	2700	17454
134	2715	17400
135	2730	17348
136	2747	17306
137	2762	17253
138	2779	17215
139	2796	17179
140	2811	17129
141	2828	17091
142	2844	17050
143	2860	17006
144	2875	16953
145	2892	16917
146	2908	16878
147	2922	16823
148	2940	16792
149	2956	16755
150	2974	16722
151	2992	16693
152	3008	16655
153	3022	16605
154	3038	16562
155	3054	16527
156	3069	16480
157	3088	16460
158	3103	16417
159	3120	16381
160	3136	16345
161	3153	16310
162	3166	16261
163	3184	16235
164	3201	16202
165	3217	16166
166	3234	16134
167	3250	16098
168	3267	16066
169	3284	16037
170	3305	16023
171	3338	16072
172	3372	16122
173	3389	16091
174	3407	16065
175	3434	16077
176	3459	16084
177	3489	16112
178	3517	16131
179	3531	16087
180	3548	16056
181	3565	16024
182	3580	15984
183	3597	15953
184	3609	15902
185	3623	15855
186	3638	15819
187	3658	15803
188	3686	15817
189	3708	15808
190	3728	15791
191	3748	15776
192	3767	15753
193	3789	15743
194	3812	15740
195	3828	15702
196	3844	15669
197	3860	15637
198	3875	15601
199	3889	15558
200	3908	15535
201	3923	15499
202	3942	15476
203	3958	15447
204	3983	15446
205	3999	15417
206	4014	15380
207	4029	15344
208	4047	15318
209	4059	15271
210	4076	15244
211	4096	15227
212	4110	15186
213	4127	15159
214	4146	15138
215	4157	15091
216	4172	15055
217	4190	15032
218	4203	14990
219	4219	14961
220	4234	14924
221	4249	14892
222	4266	14865
223	4282	14835
224	4300	14812
225	4312	14769
226	4329	14742
227	4347	14718
228	4362	14687
229	4382	14670
230	4395	14631
231	4413	14610
232	4437	14606
233	4457	14591
234	4476	14571
235	4498	14563
236	4516	14540
237	4533	14514
238	4550	14490
239	4567	14464
240	4585	14442
241	4607	14430
242	4631	14429
243	4665	14454
244	4680	14423
245	4697	14398
246	4714	14372
247	4730	14342
248	4743	14307
249	4762	14288
250	4779	14261
251	4796	14236
252	4811	14207
253	4829	14183
254	4845	14155
255	4862	14131
256	4879	14106
257	4893	14072
258	4911	14052
259	4926	14021
260	4944	14000
261	4956	13962
262	4975	13942
263	4992	13919
264	5006	13885
265	5021	13856
266	5037	13830
267	5053	13802
268	5068	13774
269	5085	13749
270	5102	13725
271	5117	13697
272	5133	13669
273	5149	13643
274	5165	13617
275	5182	13593
276	5198	13569
277	5215	13544
278	5229	13515
279	5246	13492
280	5274	13496
281	5293	13477
282	5323	13487
283	5347	13480
284	5374	13483
285	5399	13478
286	5427	13482
287	5452	13479
288	5475	13471
289	5493	13450
290	5515	13437
291	5534	13420
292	5557	13409
293	5578	13395
294	5602	13388
295	5628	13385
296	5656	13388
297	5691	13407
298	5722	13415
299	5744	13402
300	5775	13413
301	5800	13407
302	5828	13408
303	5849	13393
304	5864	13362
305	5888	13355
306	5913	13349
307	5934	13332
308	5953	13312
309	5985	13322
310	6011	13317
311	6026	13288
312	6048	13275
313	6067	13256
314	6087	13237
315	6105	13216
316	6121	13189
317	6145	13178
318	6174	13181
319	6195	13165
320	6224	13166
321	6247	13154
322	6273	13148
323	6295	13135
324	6316	13118
325	6333	13094
326	6347	13064
327	6366	13043
328	6387	13028
329	6409	13013
330	6429	12994
331	6443	12965
332	6457	12934
333	6473	12908
334	6490	12883
335	6507	12860
336	6528	12843
337	6545	12820
338	6564	12800
339	6583	12778
340	6602	12759
341	6620	12737
342	6642	12723
343	6663	12707
344	6679	12680
345	6694	12652
346	6714	12635
347	6733	12615
348	6747	12587
349	6780	12592
350	6798	12569
351	6816	12548
352	6833	12525
353	6853	12506
354	6871	12485
355	6892	12467
356	6911	12448
357	6928	12424
358	6945	12401
359	6961	12376
360	6979	12353
361	6998	12333
362	7014	12308
363	7033	12288
364	7051	12267
365	7077	12259
366	7101	12248
367	7117	12223
