iter	RMSE
0	3568.156934
1	3242.232393
2	2981.695302
3	2762.419073
4	2580.919262
5	2441.100859
6	2321.501878
7	2224.573395
8	2140.532786
9	2073.747907
10	2018.310674
11	1973.427022
12	1934.771737
13	1901.252428
14	1876.188846
15	1851.775368
16	1831.99128
17	1813.219504
18	1797.347561
19	1774.976372
20	1762.328762
21	1748.362882
22	1735.926896
23	1721.495871
24	1713.793586
25	1703.758592
26	1693.277779
27	1685.535366
28	1679.521736
29	1674.946313
30	1669.927543
31	1665.54839
32	1661.640634
33	1650.463254
34	1645.339168
35	1640.746304
36	1637.710697
37	1631.240183
38	1625.325818
39	1621.560054
40	1619.121455
41	1615.08057
42	1611.530537
43	1606.528055
44	1603.474451
45	1599.527266
46	1595.19833
47	1592.041761
48	1590.151954
49	1586.898188
50	1583.833012
51	1580.130395
52	1574.496109
53	1572.060617
54	1570.804634
55	1568.340041
56	1565.538683
57	1563.826135
58	1561.406081
59	1557.047233
60	1554.888904
61	1552.610026
62	1551.753845
63	1549.731108
64	1547.894009
65	1546.63279
66	1544.47046
67	1542.676999
68	1541.018302
69	1537.614299
70	1535.734459
71	1534.998125
72	1532.590993
73	1530.423437
74	1528.978308
75	1526.171173
76	1523.680732
77	1522.914052
78	1521.603061
79	1520.539631
80	1519.521854
81	1517.614104
82	1516.039651
83	1515.139071
84	1514.055938
85	1512.901148
86	1510.565299
87	1508.765032
88	1507.159927
89	1505.255477
90	1504.159424
91	1502.816631
92	1501.702817
93	1500.003187
94	1498.969275
95	1498.458598
96	1496.447807
97	1495.777523
98	1494.637628
99	1493.579589
100	1492.092943
101	1490.780423
102	1489.947143
103	1488.641606
104	1487.956496
105	1486.875879
106	1485.789526
107	1484.702733
108	1483.591907
109	1482.229739
110	1480.911621
111	1480.414362
112	1479.799867
113	1479.067756
114	1477.681979
115	1476.768814
116	1475.897166
117	1475.366301
118	1474.210765
119	1473.81505
120	1472.533345
121	1471.23914
122	1470.6284
123	1469.391975
124	1468.876171
125	1467.953849
126	1467.368476
127	1466.318561
128	1465.356404
129	1464.71358
130	1464.063585
131	1463.219882
132	1462.652968
133	1461.880674
134	1460.597095
135	1459.347314
136	1458.731733
137	1457.978331
138	1456.612651
139	1455.767338
140	1454.922387
141	1454.048557
142	1453.449146
143	1452.837857
144	1452.039092
145	1451.305099
146	1450.648131
147	1449.788399
148	1449.259261
149	1448.526253
150	1448.045912
151	1447.621562
152	1446.915103
153	1445.661807
154	1444.935865
155	1444.107083
156	1443.556498
157	1442.803172
158	1442.000648
159	1441.532527
160	1441.107071
