iter	Passed	Remaining
0	25	51826
1	44	44574
2	62	41572
3	82	41135
4	100	40250
5	120	39969
6	139	39612
7	156	39060
8	176	38994
9	195	38808
10	213	38589
11	237	39315
12	264	40412
13	282	40115
14	299	39653
15	317	39344
16	337	39345
17	359	39538
18	378	39413
19	396	39222
20	413	38974
21	435	39165
22	455	39146
23	474	39052
24	492	38936
25	511	38801
26	530	38793
27	549	38711
28	566	38511
29	584	38359
30	601	38173
31	618	38062
32	636	37964
33	655	37879
34	672	37743
35	690	37664
36	708	37567
37	725	37480
38	744	37456
39	762	37371
40	780	37305
41	802	37414
42	822	37450
43	846	37639
44	865	37588
45	884	37593
46	906	37672
47	931	37861
48	964	38383
49	984	38401
50	1006	38458
51	1030	38586
52	1050	38573
53	1069	38534
54	1087	38461
55	1108	38493
56	1126	38412
57	1144	38309
58	1163	38268
59	1181	38204
60	1200	38172
61	1218	38090
62	1235	37995
63	1254	37935
64	1272	37892
65	1288	37760
66	1307	37710
67	1323	37594
68	1342	37573
69	1361	37548
70	1380	37500
71	1398	37449
72	1422	37541
73	1440	37487
74	1465	37602
75	1483	37559
76	1505	37588
77	1523	37533
78	1541	37481
79	1559	37439
80	1579	37429
81	1597	37374
82	1615	37316
83	1633	37261
84	1651	37209
85	1668	37139
86	1686	37092
87	1709	37143
88	1728	37111
89	1745	37050
90	1763	37001
91	1781	36948
92	1801	36932
93	1822	36957
94	1851	37124
95	1869	37073
96	1890	37092
97	1917	37215
98	1942	37305
99	1966	37369
100	1985	37338
101	2005	37320
102	2023	37269
103	2040	37208
104	2060	37192
105	2077	37116
106	2095	37072
107	2114	37046
108	2132	36999
109	2152	36984
110	2174	37013
111	2191	36948
112	2211	36928
113	2229	36888
114	2250	36881
115	2268	36849
116	2286	36797
117	2304	36754
118	2324	36745
119	2348	36791
120	2374	36869
121	2392	36826
122	2412	36815
123	2431	36790
124	2450	36752
125	2470	36745
126	2487	36688
127	2505	36642
128	2525	36625
129	2542	36568
130	2560	36529
131	2579	36501
132	2596	36453
133	2615	36419
134	2634	36389
135	2651	36347
136	2669	36303
137	2691	36315
138	2711	36304
139	2740	36402
140	2758	36364
141	2776	36332
142	2794	36293
143	2812	36249
144	2831	36224
145	2850	36192
146	2867	36146
147	2888	36146
148	2912	36177
149	2937	36234
150	2956	36197
151	2979	36223
152	2998	36194
153	3017	36165
154	3036	36138
155	3055	36121
156	3073	36085
157	3093	36063
158	3110	36020
159	3129	35987
160	3150	35984
161	3168	35950
162	3186	35911
163	3204	35872
164	3222	35834
165	3240	35799
166	3259	35771
167	3280	35768
168	3300	35763
169	3317	35714
170	3335	35673
171	3354	35650
172	3372	35616
173	3393	35612
174	3413	35596
175	3433	35587
176	3452	35562
177	3472	35540
178	3490	35508
179	3510	35493
180	3529	35470
181	3547	35432
182	3564	35393
183	3583	35366
184	3601	35337
185	3620	35309
186	3638	35274
187	3656	35244
188	3677	35238
189	3694	35198
190	3713	35174
191	3731	35139
192	3749	35107
193	3769	35090
194	3789	35074
195	3808	35052
196	3826	35023
197	3845	34995
198	3862	34960
199	3881	34934
200	3900	34909
201	3932	35005
202	3951	34981
203	3969	34947
204	3987	34911
205	4004	34874
206	4022	34839
207	4042	34824
208	4060	34797
209	4079	34769
210	4097	34737
211	4113	34695
212	4132	34671
213	4150	34637
214	4168	34608
215	4186	34580
216	4205	34556
217	4224	34534
218	4242	34499
219	4260	34468
220	4281	34461
221	4303	34466
222	4322	34445
223	4340	34416
224	4358	34387
225	4376	34355
226	4394	34323
227	4412	34296
228	4430	34260
229	4447	34225
230	4465	34193
231	4482	34157
232	4499	34124
233	4517	34089
234	4534	34054
235	4551	34021
236	4574	34027
237	4593	34006
238	4610	33974
239	4630	33957
240	4654	33972
241	4673	33953
242	4692	33927
243	4710	33897
244	4729	33875
245	4746	33840
246	4763	33809
247	4780	33773
248	4797	33739
249	4815	33706
250	4832	33675
251	4851	33649
